jurisdiction,entity_type,desc,name,link,instructions_link,efile_allowed,efile_required,efile_required_desc,efile_allowed_desc,dd,fiscal_dd_desc,ext_dd,fiscal_ext_dd_desc
Alabama (AL),Corporation,Corporation Â Income Tax Return,20C,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20c.pdf,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20cinstr.pdf,,,Yes,,4/15/2018,15th day of the 4th month following fiscal year end,10/15/2018,6 month ext
Alabama (AL),Corporation,Consolidated Corporate  Income Tax Return,20C-C,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20cc.pdf,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20ccinstr.pdf,,,Yes,,4/15/2018,15th day of the 4th month following fiscal year end,10/15/2018,6 month ext
Arizona (AZ),Corporation,Corporation Income Tax Return,120,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_CORPORATE_2017_120_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_CORPORATE_2017_120-i.pdf,,,yes,,4/15/2018,15th day of the 4th month following fiscal year end,4/15/2018,Due date of the return
Arizona (AZ),Corporation,Corporation Income Tax Return (Short Form),120A,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_CORPORATE_2017_120A_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_CORPORATE_2017_120A-i.pdf,,,yes,,4/15/2018,15th day of the 4th month following fiscal year end,4/15/2018,Due date of the return
Arkansas (AR),Corporation,Corporation Income Tax Retun,AR1100CT,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1100CT_2017_RE.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/Corporation_Instructions_2017.pdf,,,Yes,,4/15/2018,15th day of the 4th month following fiscal year end,4/15/2018,Due date of the return
California (CA),Corporation,California Corporation Franchise or Income Tax ReturnÂ ,100,https://www.ftb.ca.gov/forms/2017/17_100.pdf#,https://www.ftb.ca.gov/forms/2017/17_100bk.pdf,,,Yes,Depends,4/15/2018,15th day of the 4th month after the close of the taxable year unless the return is for a short-period as required under R&TC Section 24634.,,"If the corporation cannot file its California tax return by the 15th day of the 4th month after the close of the taxable year, it may file on or before the 15th day of the 10th month without filing a written request for an extension unless the corporation is suspended on or after the original due date"
Colorado (CO),Corporation,C Corporation Income TaxÂ Return,112,https://www.colorado.gov/pacific/sites/default/files/112Book.pdf,https://www.colorado.gov/pacific/sites/default/files/112Book.pdf,,,yes,,4/17/2018,15 day of the fourth month after the end of your tax year,10/15/2018,6 months
Connecticut (CT),Corporation,Corporation Business Tax Return,CT-1120,http://www.ct.gov/drs/lib/drs/forms/1-2017/corporation/ct-1120_1217.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/corporation/booklets/ct-1120_ct_corp_bus_tax_instruction_booklet_1217.pdf,,,yes,yes,5/15/2018,"If your corporation has a June 30th year end, the return is due on October 15

the due date generally will be the fifteenth day of the fifth month after the end of your corporationâ€™s year",5/15/2018,seven months for June 30 year end filers
Connecticut (CT),Corporation,Combined Corporation Business Tax Return,CT-1120CR,http://www.ct.gov/drs/lib/drs/forms/2006forms/corp/ct-1120cr.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2015/corporation/ct-1120cr-inst.pdf,,,yes,,4/1/2018,Â first day of the fourth month following the end of the income year,4/1/2018,6 months
Connecticut (CT),Corporation,"Composite_x000D_
Income Tax",CT-1065,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_1217.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_booklet_1217.pdf,,,yes,,4/15/2018,15 day of the fourth month following the close of the taxable year,4/15/2018,"5 months, but only only if federal Form 7004, Application for Automatic Extension of Time to File Certain Business Income Tax, Information, and Other Returns, has been filed"
Connecticut (CT),Corporation,"Composite_x000D_
Income Tax",CT-1120SI,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_1217.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_booklet_1217.pdf,,,yes,,4/15/2018,15 day of the fourth month following the close of the taxable year,4/15/2018,"5 months, but only only if federal Form 7004, Application for Automatic Extension of Time to File Certain Business Income Tax, Information, and Other Returns, has been filed"
Delaware (DE),Corporation,CORPORATION INCOME TAX RETURN,1100,https://revenue.delaware.gov/services/current_bt/TY17_1100e.pdf,https://revenue.delaware.gov/services/current_bt/TY16_1100i.pdf,,,yes,,4/1/2018,1st day of the fourth month following the close of the taxable year,4/1/2018,"6 months, If an automatic Federal extension has been granted"
Illinois (IL),Corporation,Corporation Income and Replacement Tax Return,IL-1120,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/Corporate/IL-1120.pdf,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/Corporate/IL-1120-Instr.pdf,,,yes,,3/15/2018,15th day of the 3rd month following fiscal year end,,AUTOMATIC
Indiana (IN),Corporation,Corporate Adjusted Gross Income Tax Return,IT-20,"note: Indiana forms may only be downloaded - no direct URL to each form is available Â  Â  Â  Â  Â Â 
http://www.in.gov/dor/5696.htm","note: Indiana forms may only be downloaded - no direct URL to each form is available Â  Â  Â  Â  Â Â 
http://www.in.gov/dor/5696.htm",,,,,4/15/2018,15th day of the 4th month following close of the taxable year,,
Louisiana (LA),Corporation,Corporation Income Tax Return,CIFT-620,http://revenue.louisiana.gov/TaxForms/CIFT620WEB(1_16)F.pdf,http://revenue.louisiana.gov/TaxForms/CIFT620i(1_17).pdf,,,Y,,5/15/2018, 15th day of the fifth month following the close of the taxable year,11/15/2018,6 months
New Jersey (NJ),Corporation,Corporation Business Tax Return,CBT-100,http://www.state.nj.us/treasury/taxation/pdf/current/cbt/cbt100.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/cbt/cbt100ins.pdf,,,Y,Y,4/17/2018,43388,10/15/2018,"6 month ext (Where a tentative return, Form CBT-200-T, and tax payment are timely and properly filed, it is the policy of the Division of Taxation to grant an extension of no more than six (6) months for filing the CBT-100)"
New Mexico (NM),Corporation,NEW MEXICO CORPORATE INCOME AND FRANCHISE TAX RETURN,CIT-1,https://www.taxformfinder.org/newmexico/form-cit-1,http://realfile.tax.newmexico.gov/2017cit-ins.pdf,,,Yes,,4/17/2018,The due dates of the CIT-1 return for the taxable year conform to the due dates instituted at the federal level,4/15/2018,"If a copy of the automatic or approved federal extension form accompanies the CIT-1 when you file, the Department accepts the extended time the IRS granted
and you do not need to file a New Mexico extension"
New York (NY),Corporation,General Business Corporation MTA Surcharge Return (The form number was previously CT-3M/4M),CT-3-M,https://www.tax.ny.gov/pdf/current_forms/ct/ct3m.pdf,https://www.tax.ny.gov/pdf/current_forms/ct/ct3mi.pdf,,,Y,,4/15/2018,3&½ months after the end of your reporting period,10/15/2018,6 month ext
North Carolina (NC),Corporation,C-Corporation Tax Return,CD-405,https://files.nc.gov/ncdor/documents/forms/cd405_8.pdf?gfPLu1JOz93z3WqTSHpWJr2SS1NlYlP9,http://ftp.zillionforms.com/Draft/2016/I512213392.PDF,,,Y,,4/17/2018,,10/15/2017,
North Dakota (ND),Corporation,Corporation Â Income Tax Return,40,https://www.nd.gov/tax/data/upfiles/media/form-40.pdf?20180111102852,https://www.nd.gov/tax/data/upfiles/media/corporate-income-tax-booklet.pdf?20180111101423,,,,,4/17/2018,,9/15/2017,
Pennsylvania (PA),Corporation,Corporate Tax Report,RCT-101,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/CorporationTax/Documents/rct-101_fillin.pdf,http://www.revenue.pa.gov/FormsandPublications/otherforms/Documents/2017_rev-993.pdf,,,Y,,5/15/2018,30 days after the federal due date for both calendar and fiscal year end.  Domestic Int'l Sales Companies (DISC) must file on or before 15th day of the 10th month following the close of the fiscal year.,11/15/2018,
South Carolina (SC),Corporation,C' CORPORATION INCOME TAX RETURN,SC1120,https://dor.sc.gov/forms-site/Forms/SC1120.pdf,https://dor.sc.gov/forms-site/Forms/SC1120I.pdf,,,Yes,,4/15/2018,15 day of the fourth month after the end of the tax year,4/15/2018,"If the taxpayer is not required to make a payment for tax or license fee at the time of the extension, and the taxpayer has been granted an extension of time to file a federal income tax return, it is not necessary to file a separate state extension form SC-1120-T
Attach a copy of the properly filed federal extension to the final
South Carolina return when filed.Â "
Tennessee (TN),Corporation,Franchise and Excise Tax Return,FAE 170,https://www.tn.gov/content/dam/tn/revenue/documents/forms/fae/fae170_2018.pdf,https://www.tn.gov/content/dam/tn/revenue/documents/forms/fae/fae170instr_2018.pdf,,,Yes,,4/15/2018,15th day of the 4th month following the close of your books and records ,4/15/2018,"6 months - If you are not required to make a payment because you have already made sufficient payments on or before the original due date, filing extension form (FAE 173) is not required"
Utah (UT),Corporation,Franchise and Income Tax Return,TC-20,https://tax.utah.gov/forms/current/tc-20.pdf,https://tax.utah.gov/forms/current/tc-20inst.pdf,,,Yes,,4/15/2018,15th day of the fourth month following the close of the taxable year ,4/15/2018,"6 month - Corporations are automatically allowed an extension of up to six months to fi le a return without fi ling an extension form.
Corporations must make estimated prepayments using form
TC-559"
Virginia (VA),Corporation,"Corporation_x000D_
 Income Tax Return",500,https://www.tax.virginia.gov/sites/default/files/taxforms/corporation-and-pass-through-entity-tax/2017/500-2017.pdf,https://www.tax.virginia.gov/sites/default/files/vatax-pdf/2017-form-500-instructions.pdf,,,Y,Y,4/15/2018,15th day of the 4th month (15th day of the 6th month for nonprofit corporations),11/15/2018,7 month ext (and must pay at least 90% of the tax due by the original due date for filing the return)
Washington DC (DC),Corporation,"Corporation_x000D_
Franchise Tax Return",D-20,https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2016%20D-20_Booklet.pdf,https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2016%20D-20_Booklet.pdf,,,y,,4/17/2018,"6 month - 15th day of the fourth month after the tax year closesÂ 

15th day of the fourth month after the tax year closes",10/15/2018,"6 month
 7-month extension of time to file if you are a Combined Reporting filer"
West Virginia (WV),Corporation,Corporate Income Tax Return,CNF-120,https://tax.wv.gov/Documents/TaxForms/2017/cnf120.pdf,https://tax.wv.gov/Documents/TaxForms/2017/cnf120.instructions.pdf,,,Yes,Depends,4/17/2018,15th day of the fourth month following the end of the period,10/15/2018,6 month -Â An extension of time to file a federal return is automatically accepted by West Virginia as an extension of time to file the West Virginia return. A copy of the federal extension form must be attached to the West Virginia return when filed and the extended due date must be entered on top of the return
Wisconsin (WI),Corporation,Non-Combined Corporation Franchise or Income Tax Return,4,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form4.pdf,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form4-Inst.pdf,,,Yes,y,4/15/2018,Fiscal year ending June 30 are due the 15th day of the 3rd month after the close of the taxable year (September 15).,4/15/2018,7 month - Wisconsin law provides for an automatic 7 month extension to file the return
Arizona (AZ),Exempt Organization,Exempt Organization Annual Information Return,99,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_EXEMPTORGS_2017_99_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_EXEMPTORGS_2017_99-i.pdf,,,,,5/15/2018,15th day of the 5th month following fiscal year end,5/15/2018,Due date of the return
Arizona (AZ),Exempt Organization,Exempt Organization Business Income Tax Return,99T,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_EXEMPTORGS_2017_99T_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_EXEMPTORGS_2017_99T-i.pdf,,,,,5/15/2018,15th day of the 5th month following fiscal year end,5/15/2018,Due date of the return
Arkansas (AR),Exempt Organization, Application for Income Tax Exempt Status,AR1023CT,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1023CT_2017_RE.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/Corporation_Instructions_2017.pdf,,,,,5/15/2018,15th day of the 5th month (Exempt organizations),,"If you have received an automatic Federal extension
(Form 7004), the time for filing your Arkansas Corporation
Income Tax Return shall be extended until the due date of
your federal return"
California (CA),Exempt Organization,Exempt Organization Business Income Tax ReturnÂ ,109,https://www.ftb.ca.gov/forms/2017/17_109.pdf,https://www.ftb.ca.gov/forms/2017/17_109bk.pdf,,,Yes,Depends,5/15/2018,15th day of the 5th month following the close of the taxable year,,"Â the exempt organization has an additional six months to file ithout filing a written request for xtension, If Form 199 cannot be filed by the 15th day of the 5th month after the accounting period ends"
California (CA),Exempt Organization,Exempt Organization - Annual Information ReturnÂ ,199,https://www.ftb.ca.gov/forms/2017/17_199.pdf,https://www.ftb.ca.gov/forms/2016/16_199ins.pdf,,,Yes,Depends,5/15/2018,15th day of the 5th month after the accounting period ends,,"Â the exempt organization has an additional six months to file ithout filing a written request for xtension, If Form 199 cannot be filed by the 15th day of the 5th month after the accounting period ends"
Delaware (DE),Exempt Organization,Information Return / Holding Company / Investment Company,1902(B),https://revenue.delaware.gov/services/current_bt/1902b.pdf,https://revenue.delaware.gov/services/current_bt/1902b.pdf,,,,,4/15/2018,15 day of the fourth month ,4/15/2018,6 monthsÂ  with the FED ext
Illinois (IL),Exempt Organization,Exempt Organization Income and Replacement Tax Return,IL-990-T,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/TaxExempt/IL-990-T.pdf,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/TaxExempt/IL-990-T-Instr.pdf,,,,,5/15/2018,15th day of the 5th month (4th month of employee trusts) following fiscal year end,,AUTOMATIC
Indiana (IN),Exempt Organization,Nonprofit Organization Unrelated Business Income Tax Return,IT-20NP,https://www.in.gov/dor/5696.htm,https://www.in.gov/dor/5696.htm,,,,,5/15/2018,15th day of the 5th month following close of the taxable year,,
Indiana (IN),Exempt Organization,Nonprofit Organization's Annual Report,NP-20,http://www.in.gov/dor/3506.htm,,,,,,5/15/2018,15th day of the 5th month following close of the taxable year,,
Arizona (AZ),Fiduciaries,Fiduciary Income Tax Return,141AZ,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/FIDU-F/FORMS_FIDUCIARY_2017_141AZ-f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/FIDU-I/FORMS_FIDUCIARY_2017_141AZ-i.pdf,,,Yes,,4/15/2018,15th day of the 4th month following fiscal year end,4/15/2018,Due date of the return
Arkansas (AR),Fiduciaries,FIDUCIARY INCOME TAX RETURN,AR1002F,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1002FFidITRet.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/FidTaxInst.pdf,,,Yes,,4/15/2018,15th day of the 4th month following fiscal year end,4/15/2018,"15th day of the 4th month following the fiscal year end (if you file a FED Feduciary ext, then the AR ext is automatic)"
Arkansas (AR),Fiduciaries,Fiduciary Income Tax Return - Nonresident,AR1002NR,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1002NRNonResidentFidITRet.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/FidTaxInst.pdf,,,Yes,,4/15/2018,15th day of the 4th month following fiscal year end,4/15/2018,"15th day of the 4th month following the fiscal year end (if you file a FED Feduciary ext, then the AR ext is automatic)"
Colorado (CO),Fiduciaries,Fiduciary Income Tax Filing,105,http://www.zillionforms.com/2016/F512213499.PDF,https://www.colorado.gov/pacific/sites/default/files/105Book.pdf,,,Yes,,4/17/2018,15  day of the fourth month after the end of your tax year,10/15/2018,6 months
Connecticut (CT),Fiduciaries,"Income Tax Return for Trusts and Estates for Residents, nonresidents, and part-year residents",CT-1041,http://www.ct.gov/drs/lib/drs/forms/1-2016/trustandestates-1041/ct-1041.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/trustandestates/ct-1041_booklet_1217.pdf,,,yes,,4/15/2018,,4/15/2018,"5-1/2 months,  if a federal Form 7004, Application for Automatic Extension of Time to File Certain Business Income, Information, and Other Returns, has been filed."
Illinois (IL),Fiduciaries,Fiduciary Income and Replacement Tax Return,IL-1041,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/Fiduciary/IL-1041.pdf,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/Fiduciary/IL-1041-Instr.pdf,,,,,4/15/2018,15th day of the 4rd month following fiscal year end,,AUTOMATIC
Louisiana (LA),Fiduciaries,Fiduciary Income Tax Return,IT-541,http://revenue.louisiana.gov/TaxForms/IT541(1_17)F.pdf,http://revenue.louisiana.gov/TaxForms/IT541i(1_17).pdf,,,Y,,5/15/2018,15th day of the fifth month after the close of the fiscal period,11/15/2018,"6 months; Louisiana will recognize and accept the federal extension authorizing the same extended due date as the federal; IF NO FED EXT WAS FILED, FORM R-6466 NEEDS TO BE USED) link: http://revenue.louisiana.gov/VendorForms/6466(1_12).pdf"
